# Naming-leak ratchet baseline (auto-generated — do not edit by hand).
# Format: pattern<TAB>file<TAB>max_occurrences (git grep -c -F, magi_agent/**/*.py).
# Regenerate: bash scripts/check_naming.sh --update
# scripts/check_naming.sh fails on files/counts above this baseline;
# cleanup PRs should re-run --update so the baseline ratchets down.
openmagi	magi_agent/evidence/tool_boundary.py	1
openmagi	magi_agent/gates/api_canary_ladder.py	10
openmagi	magi_agent/gates/gate1a_readonly_tools.py	1
openmagi	magi_agent/gates/gate5b_full_toolhost.py	1
openmagi	magi_agent/gateway/service_install.py	1
openmagi	magi_agent/harness/cron_turn_runner_adapter.py	8
openmagi	magi_agent/harness/goal_state.py	2
openmagi	magi_agent/harness/long_context_eval.py	1
openmagi	magi_agent/harness/plan_gate.py	9
openmagi	magi_agent/harness/presets.py	1
openmagi	magi_agent/harness/profiles.py	2
openmagi	magi_agent/harness/resolved.py	1
openmagi	magi_agent/harness/scheduler_job_execution.py	4
openmagi	magi_agent/hooks/builtin/__init__.py	1
openmagi	magi_agent/hooks/bus.py	1
openmagi	magi_agent/knowledge/provider_boundary.py	3
openmagi	magi_agent/learning/bootstrap.py	1
openmagi	magi_agent/learning/injection.py	3
openmagi	magi_agent/learning/live.py	1
openmagi	magi_agent/learning/store.py	1
openmagi	magi_agent/learning/telemetry.py	1
openmagi	magi_agent/main.py	2
openmagi	magi_agent/memory/adapters/hipocampus_readonly.py	1
openmagi	magi_agent/memory/adk_bridge.py	3
openmagi	magi_agent/memory/conformance.py	1
openmagi	magi_agent/memory/write_boundary.py	2
openmagi	magi_agent/meta_orchestration/commit_adapter.py	2
openmagi	magi_agent/observability/integration.py	1
openmagi	magi_agent/ops/health.py	2
openmagi	magi_agent/ops/job_queue.py	8
openmagi	magi_agent/ops/metrics.py	8
openmagi	magi_agent/plugins/extension_boundary.py	2
openmagi	magi_agent/plugins/general_automation/mcp_projection.py	1
openmagi	magi_agent/plugins/manifest.py	2
openmagi	magi_agent/plugins/mcp_adapter.py	5
openmagi	magi_agent/plugins/native/browser.py	1
openmagi	magi_agent/plugins/native/knowledge.py	1
openmagi	magi_agent/plugins/native_catalog.py	51
openmagi	magi_agent/plugins/shell_testrun_safe_subset.py	1
openmagi	magi_agent/plugins/tool_projection.py	17
openmagi	magi_agent/recipes/coding_evidence_gate.py	1
openmagi	magi_agent/recipes/coding_mutation.py	1
openmagi	magi_agent/recipes/compiler.py	86
openmagi	magi_agent/recipes/cross_verify.py	4
openmagi	magi_agent/recipes/first_party/discovery.py	10
openmagi	magi_agent/recipes/first_party/learning_usage.py	10
openmagi	magi_agent/recipes/first_party/memory_recall.py	1
openmagi	magi_agent/recipes/kernel_recipe_packs.py	1
openmagi	magi_agent/recipes/materializer.py	26
openmagi	magi_agent/recipes/reliability_policy.py	18
openmagi	magi_agent/recipes/workflow_recipe.py	1
openmagi	magi_agent/research/action_claims.py	5
openmagi	magi_agent/research/boundary_enforcement.py	6
openmagi	magi_agent/research/child_roles.py	2
openmagi	magi_agent/research/evidence_graph.py	1
openmagi	magi_agent/research/final_projection_gate.py	1
openmagi	magi_agent/research/policy_pack.py	2
openmagi	magi_agent/research/research_first_canary.py	3
openmagi	magi_agent/research/source_proof.py	4
openmagi	magi_agent/runtime/__init__.py	1
openmagi	magi_agent/runtime/adk_turn_runner.py	29
openmagi	magi_agent/runtime/child_runner_boundary.py	10
openmagi	magi_agent/runtime/child_runner_live.py	3
openmagi	magi_agent/runtime/commit_boundary.py	1
openmagi	magi_agent/runtime/context_lifecycle.py	5
openmagi	magi_agent/runtime/context_packet.py	10
openmagi	magi_agent/runtime/control.py	1
openmagi	magi_agent/runtime/heartbeat_boundary.py	2
openmagi	magi_agent/runtime/heartbeat_contract.py	17
openmagi	magi_agent/runtime/heartbeat_store.py	6
openmagi	magi_agent/runtime/hosted_defaults.py	2
openmagi	magi_agent/runtime/llm_stream_reader.py	1
openmagi	magi_agent/runtime/local_defaults.py	1
openmagi	magi_agent/runtime/message_builder.py	1
openmagi	magi_agent/runtime/no_agent_watchdog.py	3
openmagi	magi_agent/runtime/openmagi_runtime.py	4
openmagi	magi_agent/runtime/provider_execution.py	2
openmagi	magi_agent/runtime/provider_receipts.py	1
openmagi	magi_agent/runtime/public_events.py	1
openmagi	magi_agent/runtime/query_state.py	3
openmagi	magi_agent/runtime/readiness.py	3
openmagi	magi_agent/runtime/session_continuity.py	5
openmagi	magi_agent/runtime/session_continuity_projection.py	18
openmagi	magi_agent/runtime/session_continuity_proof.py	3
openmagi	magi_agent/runtime/slash_control_boundary.py	1
openmagi	magi_agent/sandbox/policy.py	1
openmagi	magi_agent/security/advisory.py	1
openmagi	magi_agent/security/compliance.py	4
openmagi	magi_agent/security/context_guard.py	1
openmagi	magi_agent/security/credentials.py	1
openmagi	magi_agent/security/sandbox_preflight.py	1
openmagi	magi_agent/shadow/adk_eval_fixture_contract.py	12
openmagi	magi_agent/shadow/agent_methodology_contract.py	2
openmagi	magi_agent/shadow/artifact_channel_delivery_contract.py	5
openmagi	magi_agent/shadow/fixture_runner.py	5
